3 3	We had to drive away our car immediately .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL I-MOTION_SIGNAL O O	B-mover O O B-trigger O O O O O
29 29	Copala to Durango – 4 days , 163 miles Thursday , January 19th , 2006 I spent two days in Copala , a picturesque town of about 1,500 people in the steep foothills of the Sierra Madre Occidente , a massive mountain range that hugs the west coast of Mexico .	O O O O O O O O O O O O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL B-PLACE O O O B-PLACE O O O O B-SPATIAL_SIGNAL O O B-PLACE O O B-PATH I-PATH I-PATH O O O O B-PATH O B-MOTION O O B-PATH O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O O O O B-trigger O O B-landmark O O O O O O O O O O O O O O O O O O
7 7	Nicaragua is one of the poorer countries in Latin America ( see comparison ) .	B-PLACE O B-PLACE O O O B-PLACE B-SPATIAL_SIGNAL B-PLACE I-PLACE O O O O O	O O B-trajector O O O B-trajector B-trigger B-landmark I-landmark O O O O O
17 17	It is the only paved road through the Sierra Madre Ocidente for hundreds of miles to the north and south .	B-PATH O O O O B-PATH B-SPATIAL_SIGNAL O B-PATH I-PATH I-PATH O B-MEASURE I-MEASURE I-MEASURE O O B-SPATIAL_SIGNAL O B-SPATIAL_SIGNAL O	O O O O O B-landmark O O O O O O O O O O O B-trigger O O O
4 4	But soon we were stopped by a bar .	O O B-SPATIAL_ENTITY O B-MOTION O O B-SPATIAL_ENTITY O	O O B-mover O B-trigger O O O O
25 25	I stayed an extra day in Zacatecas , talked with a school , and then camped atop a building in the center of town , where I encountered my first rain in Mexico .	B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL B-PLACE O O O O B-PLACE O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O B-landmark O O O O O O B-trigger O B-trajector O O O O O O
8 9	The original gate that once existed here — part of the ancient town wall — was torn down in 1570 .	O O B-SPATIAL_ENTITY O O O B-PLACE O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O O O B-PATH O O O O O O O	O O B-trajector O O O O O B-trigger I-trigger O O O B-landmark O O O O O O O
4 4	Camping next to families in the countryside , I am inevitably asked about money and about what life is like in the U.S.	B-NONMOTION_EVENT B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O B-SPATIAL_ENTITY O O O O O O O O B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL O B-PLACE	O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O
29 29	In a few days in the mountains , I took the photos below of various glaciers â € “ in every case you can see the glaciers used to reach far below .	O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O O B-PATH O O B-MOTION B-MEASURE B-SPATIAL_SIGNAL O	O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O O B-trigger O O O
3 3	The center also houses other paintings of Pi­casso , as well as an opulent collection of works by Miró , Dalí , Julio González , and Juan Gris .	O B-PLACE O B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O O O O O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O	O B-landmark O B-trigger O B-trajector O O O O O O O O O O O O O O O O O O O O O O O
8 8	In my week in the city , I biked over 120 miles , stayed with three different people/families , managed to get in two major newspapers , visited a school ( Logos middle school ) , and was interviewed by a local television station ( which has subsequently flooded my inbox with emails from Mexicans excited about my trip ) .	O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O B-SPATIAL_ENTITY B-MOTION B-MEASURE I-MEASURE I-MEASURE O B-NONMOTION_EVENT O O O O O O O O O O O O O B-MOTION O B-PLACE O B-PLACE I-PLACE I-PLACE O O O O B-NONMOTION_EVENT O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
28 28	Recovering the helmet , Dennis and I decided it might be better to continue , and we camped on a lawn in Maya Center , a small town where the locals speak the language Maya Mopan .	O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O O O O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE I-PLACE O O O B-PLACE B-SPATIAL_SIGNAL O O B-NONMOTION_EVENT O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-landmark B-trigger O O B-trajector O O O O O
10 10	The only solution may be to build many new resivours in the mountains .	O O O O O O O O O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O B-trajector B-trigger O B-landmark O
32 32	The city sits barely above sea level , and , like the islands of the Kuna Indians , I wondered what the future of the city will be when the ocean level rises .	O B-PLACE B-NONMOTION_EVENT O B-SPATIAL_SIGNAL O B-PATH O O O O O O O O O O O B-SPATIAL_ENTITY O O O O O O B-PLACE O O O O O B-PATH B-MOTION O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O
18 18	The majority of Colombia ’s buildings are made out of bricks , and apparently this is where they come from .	O O O O O O O O O O B-SPATIAL_ENTITY O O O B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O	O O O O O O O O O O O O O O O O O B-mover B-trigger O O
11 11	Punta Arenas sits on the shore of the Straight of Magellan on the southern tip of South America , and is just one of the many cities on the coast that I have visited .	B-PLACE I-PLACE B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PATH B-SPATIAL_SIGNAL O B-PATH I-PATH I-PATH B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL B-PLACE I-PLACE O O O O B-PLACE O O O B-PLACE B-SPATIAL_SIGNAL O B-PATH O B-SPATIAL_ENTITY O B-MOTION O	O O B-trajector O O B-landmark O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O
13 13	We had difficulties to find the road , but a friendly old women went beside our car until the edge of the river Maros , which we had to cross .	B-SPATIAL_ENTITY O O O B-MOTION O B-PATH O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PATH B-SPATIAL_SIGNAL O B-PATH B-PATH O O B-SPATIAL_ENTITY O O B-MOTION O	O O O O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O
9 9	While in Santiago , I decided I wanted to climb into the mountains to see these glaciers and snow .	O B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O O O	O O O O O O B-mover O O B-trigger O O O O O O O O O O
11 11	A security guard at the San Pedro Sula airport described water in his house up to his armpits .	O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE I-PLACE O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O	O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O
1 1	We found N45E23 on a clearing with view on grass-covered hills .	B-SPATIAL_ENTITY B-MOTION B-PLACE B-SPATIAL_SIGNAL O B-PLACE O O O O B-SPATIAL_ENTITY O	B-mover B-trigger O O O O O O O O O O
20 20	After staying at the house of a teacher at Cabrillo middle school , I left at dawn to try to avoid the Santa Ana winds .	O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O O B-PLACE I-PLACE I-PLACE O B-SPATIAL_ENTITY B-MOTION O O O O O B-MOTION O B-SPATIAL_ENTITY I-SPATIAL_ENTITY I-SPATIAL_ENTITY O	O O O O O O O O O O O O O B-mover O O O O O O B-trigger O O O O O
24 24	With over half a dozen security guards watching us , we quickly assembled his bike , attached the suitcase as a trailer , and biked away from the airport .	O O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O O O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE O	O O O O O O O O O O B-mover O O O O O O O O O O O O O B-trigger O O O O O
20 20	When he was deciding to join me , I promised we would bike short distances and spend lots of time on the beach .	O B-SPATIAL_ENTITY O O O B-MOTION B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-MOTION O O O B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL O B-PATH O	O O O O O O O O O O O O O O O O B-trajector O O O B-trigger O B-landmark O
10 10	Returning to Honduras , I spent my first night camped outside of a family ’s house in the countryside .	B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O O B-SPATIAL_SIGNAL O O O O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O	O O O O O B-trajector O O O O B-trigger O O O O B-landmark O O O O
30 30	Entering large cities in Latin America gives me perhaps the largest rush I get on this trip â € “ probably because it is scary â € “ and I biked for two hours across the urban land , assisted by a few bike routes , before arriving where I would stay for a week .	B-MOTION O B-PLACE B-SPATIAL_SIGNAL B-PLACE I-PLACE O B-SPATIAL_ENTITY O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY B-MOTION O O O B-MOTION_SIGNAL O O B-PLACE O O O O O O B-PATH O O B-MOTION B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O B-NONMOTION_EVENT O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O
28 28	Passing a navy base , I followed the Pacific Coast Highway along the coastal mountains , passing through Malibu and Santa Monica before turning towards West Los Angeles where I met my friend Julia Goodnough .	B-MOTION O O B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PATH I-PATH I-PATH B-SPATIAL_SIGNAL O O B-PLACE O B-MOTION B-MOTION_SIGNAL B-PLACE O B-PLACE I-PLACE O B-MOTION B-MOTION_SIGNAL B-PLACE I-PLACE I-PLACE B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O O O O O O O O O O O B-landmark I-landmark I-landmark B-trigger O B-trajector O O O O O
3 3	The city sits at about 3,000 feet above sea level in the middle of a large valley surrounded by pine forests .	O B-PLACE B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-MEASURE I-MEASURE O B-PLACE I-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O O B-PATH B-SPATIAL_SIGNAL O O B-PLACE O	O O B-trajector B-trigger O O O O O O O O O O O O O O O O O O
6 6	I spent my last three days in the city as a tourist .	B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O O B-SPATIAL_SIGNAL O B-PLACE O O O O	O B-trajector O O O O B-trigger O B-landmark O O O O
1 1	I drove through this road section already several times , conscious that it is very near to the confluence point N 45° E 22° ( for the first time in August 1999 ) , however without knowing of the " Degree Confluence Project " - my friend Ulrich Leardi told me of it .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PATH O O O O O O B-PATH O O B-MEASURE B-SPATIAL_SIGNAL O O O B-PLACE I-PLACE I-PLACE I-PLACE O O O O O O O O O O O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O	B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25 25	I ask you all now to turn your eyes to the next project , Ride for Climate USA , which my riding partner for that trip , Bill Bradlee , along with a few excellent volunteers , have been assiduously organizing while I biked .	B-SPATIAL_ENTITY O O O O O O O O O O O O O B-MOTION O O O O O O B-MOTION_SIGNAL B-SPATIAL_ENTITY O O B-MOTION O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O O O O O O O O O O O O O B-SPATIAL_ENTITY B-MOTION O	B-mover O O O O O O O O O O O O O O O O O O O O O B-mover O O B-trigger O O O O O O O O O O O O O O O O O O O
27 27	Imposing buildings in this high-rent district contain the head offices or branches of more than 100 banks , plus insurance companies , the finance ministry , and on nearby Plaza de la Lealtad , the Bolsa de Comercio ( Stock E xchange ) .	O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL O O B-PLACE O B-PLACE O O O O O O O O B-PLACE O O O B-PLACE O O B-SPATIAL_SIGNAL B-MEASURE B-PLACE I-PLACE I-PLACE I-PLACE O O B-PLACE I-PLACE I-PLACE O B-PLACE I-PLACE I-PLACE O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trigger O B-landmark I-landmark I-landmark I-landmark O O B-trajector I-trajector I-trajector O O O O O O
6 6	23-Aug-2002 -- Leaving 46N 21E we drove via Arad and Lipova to the village Zăbalţ where a little pig tried to follow us .	O O B-MOTION B-PLACE I-PLACE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O B-PLACE B-MOTION_SIGNAL O B-PLACE B-PLACE B-SPATIAL_SIGNAL O O B-SPATIAL_ENTITY O O B-MOTION B-SPATIAL_ENTITY O	O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O
12 12	Every few kilometers , there are men in uniform with automatic rifles patrolling the road .	O O O O O O B-SPATIAL_ENTITY O O O O O B-MOTION O B-PATH O	O O O O O O B-mover O O O O O B-trigger O O O
16 16	Now the country is peaceful , and , like El Salvador , I felt relatively safe biking .	O O B-PLACE O O O O O O B-PLACE I-PLACE O B-SPATIAL_ENTITY O O O B-MOTION O	O O O O O O O O O O O O B-mover O O O B-trigger O
15 15	What they need is a cool dry climate to survive these winter months , before returning to northeastern North America in the spring .	O B-SPATIAL_ENTITY O O O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL B-PLACE I-PLACE I-PLACE O O O O	O B-mover O O O O O O O O O O O O O B-trigger O O O O O O O O
6 6	I tried to convince them to ride to Argentina with me , but they decided to stop only a few miles down the road , where we camped , built a fire , and taught me Mexican slang .	B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O B-MOTION O B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O B-PATH O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-NONMOTION_EVENT O B-NONMOTION_EVENT O O O O B-NONMOTION_EVENT O O O O	O O O O B-mover O B-trigger O O O B-mover O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5 5	The last kilometers before we take the forest road , which leads approximately toward the confluence point , we are driving on the street , because it goes steeply uphill from the valley and is is rather hard to drive in the forest .	O O B-MEASURE O B-SPATIAL_ENTITY B-MOTION O O B-PATH O O B-MOTION O B-MOTION_SIGNAL O O B-PLACE O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-PATH O O B-PATH B-MOTION O B-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE O O O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O	O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8 8	Loosing these glaciers will cause major water problems in Peru , something that I will talk about in my next post .	O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O O O B-SPATIAL_ENTITY O O O O O O O O	O O O O O O O B-trajector B-trigger B-landmark O O O O O O O O O O O O
6 6	It is the only paved road through the Sierra Madre Ocidente for hundreds of miles to the north and south .	B-PATH O O O O B-PATH B-SPATIAL_SIGNAL O B-PATH I-PATH I-PATH O B-MEASURE I-MEASURE I-MEASURE O O B-SPATIAL_SIGNAL O B-SPATIAL_SIGNAL O	O O O O O B-landmark B-trigger O B-trajector I-trajector I-trajector O O O O O O O O O O
45 45	We drove through the cities of Urziceni , Buzau , Ramnicu Sarat and , after three hours of driving and 200 km , we reached Focsani , at 35 km from the confluence point , in the county of Vrancea We continued our journey , heading west , towards Panciu .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE O B-PLACE O B-PLACE I-PLACE O O O O O O B-MOTION O B-MEASURE I-MEASURE O B-SPATIAL_ENTITY B-MOTION B-PLACE O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE B-SPATIAL_ENTITY O O B-MOTION O B-MOTION B-MOTION_SIGNAL O B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O O O O B-trigger O O O O O
13 13	Stopping to camp for the night , we asked a retired American who moved to Belize if we could camp on his lawn .	O O O O O O O B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O B-mover O B-trigger O O O O O O O O O O
11 11	After the point I went to Sighişoara – home of Dracula with a fine medieval citadel .	O O B-PLACE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O B-PLACE O O B-SPATIAL_SIGNAL O O O B-PLACE O	O O O O O O B-landmark O O O O B-trigger O O O B-trajector O
31 31	Having never bike toured before , he rode to Panama with some other cyclists , and then decided he might as well also ride to Patagonia ( he purchased a trailer in Ecuador , which is what you see him riding with in these photos ) .	O O B-MOTION_SIGNAL B-MOTION O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O O O B-SPATIAL_ENTITY O O O O B-SPATIAL_ENTITY O O O O B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL B-PLACE O O O O O O B-SPATIAL_ENTITY B-MOTION O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O O B-trigger B-landmark O O O O O O O O O O O O O O
9 9	Arriving in Managua , Nicaragua ’s capital , I stopped at the airport to pick up my father , who will be biking with me through Nicaragua and Costa Rica .	B-MOTION B-MOTION_SIGNAL B-PLACE O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O B-NONMOTION_EVENT I-NONMOTION_EVENT O B-SPATIAL_ENTITY O O O O B-MOTION O B-SPATIAL_ENTITY B-MOTION_SIGNAL B-PLACE O B-PLACE I-PLACE O	O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O
7 7	After camping two nights at 14,000 feet overlooking a huge glacier , I mounted my bike and crossed a 16,000 ft mountain pass , the highest in Peru .	O B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE B-SPATIAL_SIGNAL O O B-PATH O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O B-MOTION O B-MEASURE I-MEASURE O B-PATH O O O B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O B-trigger O O B-landmark O O O O O O O O O O O O O O O O O O
2 2	We started descending a slope towards North-East-East and , after an hour of walking - from the monument - we reached our target , deep into the forest .	B-SPATIAL_ENTITY O B-MOTION O B-PATH B-MOTION_SIGNAL I-MOTION_SIGNAL O O O O O O B-MOTION O B-MOTION_SIGNAL O B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PLACE O O B-SPATIAL_SIGNAL O B-PLACE O	B-mover O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O
18 18	Final Thoughts from Buenos Aires Saturday , March 31st , 2007 I write you from Buenos Aires , where I am preparing for the return home to the States .	O O O O O O O O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT O B-SPATIAL_SIGNAL B-PLACE I-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O B-NONMOTION_EVENT O O B-MOTION I-MOTION B-MOTION_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O B-landmark I-landmark O B-trigger O O B-trajector O O O O O O O O
2 2	So we drove along a small river that took us just by that hill .	O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PATH O B-MOTION B-SPATIAL_ENTITY O B-MOTION_SIGNAL O B-PLACE O	O B-mover B-trigger O O O O O O O O O O O O
21 21	Ventura to Los Angeles â € “ 1 day , 73 miles Wednesday , November 16th , 2005 For a day in Ventura , in addition to visiting schools , I watched surfers , sat at the beach for sunset , and visited Patagonia .	O O O O O O O O O O O O O O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O O O O B-MOTION B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O O B-MOTION B-PLACE O	O O O O O O O O O O O O O O O O O O O O B-landmark B-trigger B-landmark O O O O B-trajector O O O B-trajector O O B-trajector O O O O O O O O O O
2 2	When I pass a cyclist , I ask them why they ride , and why there are n't more cyclists on the roads , and if they have been in an accident .	O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PATH O O O B-SPATIAL_ENTITY O O O O O O	O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
28 28	The walk through thicket , wood and stinging nettles , sometimes interrupted by small clearings was an hard effort , but the mosquitoes did n't allow us to stop for a moment .	O B-MOTION B-MOTION_SIGNAL B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O B-PLACE O O O O O O O O O O O B-SPATIAL_ENTITY O B-MOTION O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O B-trigger O O O O
27 27	Next time you are in the supermarket in the winter ( if you live in the northern hemisphere ) take a look to see where the fruits come from .	O O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL O B-PLACE O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE I-PLACE O O O O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O	O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O
9 9	Using field tracks we needed plenty of time to reach the village of Sînpetru German , where we met several very friendly women , who told us some interesting historical facts of their village .	O O B-PATH B-SPATIAL_ENTITY O O O O O B-MOTION O B-PLACE O B-PLACE I-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O B-SPATIAL_ENTITY O O O O O O O O O O O O	O O O B-mover O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O
10 10	Eventually I got away from it and quite soon was driving on dry roads again .	O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-SPATIAL_ENTITY O O O O B-MOTION B-MOTION_SIGNAL O B-PATH O O	O B-mover O O O O O O O O B-trigger O O O O O
5 6	We were just 100 m away from the top of the hill , from where I could have taken pictures for a beautiful 360 degree panorama .	B-SPATIAL_ENTITY O O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE O O B-PLACE O O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O B-NONMOTION_EVENT O O O O O O O O	B-trajector O O O O B-trigger I-trigger O B-landmark O O O O O O O O O O O O O O O O O O
15 15	Northern Argentina and crossing the Andes ( again ) Friday , December 29th , 2006 Biking south from Salta , green forest eventually gave away to desert landscape , and I again found myself biking long stretches of desert between small towns .	O O O O O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O O O O O O O O O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY B-MOTION O B-PATH B-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O B-trigger O O O O O O O O O O O O O O B-mover O O O O O O O O O O O O
8 8	As I have said before , I am in Punta Arenas right now .	O B-SPATIAL_ENTITY O O O O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL B-PLACE I-PLACE O O O	O O O O O O B-trajector O B-trigger B-landmark I-landmark O O O
18 18	Monarchs , Deforestation , Poverty , and Climate Change Friday , February 10th , 2006 The butterflies I visited last week congregate in the millions at the tops of mountains in the center of Mexico .	O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_ENTITY B-MOTION O O B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O
8 8	So we drove along a small river that took us just by that hill .	O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PATH O B-MOTION B-SPATIAL_ENTITY O B-MOTION_SIGNAL O B-PLACE O	O O O O O O O O B-trigger B-mover O O O O O
5 5	No , we are not racing , as the movie on the right suggests….(I say this only because it looks like they will beat me ) .	O O B-SPATIAL_ENTITY O O B-MOTION O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O	O O B-mover O O B-trigger O O O O O O O O O O O O O O O O O O O O O
6 6	Hidden in the fog , Andres charged ahead , and I followed through a strange forest of dwarf palm like plants , which can be 100 years old even though they stand only a few feet tall .	O B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL O O O B-SPATIAL_ENTITY O O O O O O O O O B-SPATIAL_ENTITY O O O B-MEASURE I-MEASURE O O	O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
0 0	In one rural area east of the Cordillera Blanca , I met a man working for the government whose job it is to resolve water disputes .	B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PATH I-PATH O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O O O O O O O O O O O O O	B-trigger O O B-landmark O O O O O O O B-trajector O O O O O O O O O O O O O O O
14 14	From the top , we gazed on the tallest part of the Andes , including Aconcagua , South America 's tallest mountain .	O O O O B-SPATIAL_ENTITY O O O O B-PLACE B-SPATIAL_SIGNAL O B-PATH O B-SPATIAL_SIGNAL B-PLACE O O O O O B-PLACE O	O O O O O O O O O B-landmark O O O O B-trigger B-trajector O O O O O O O
5 5	There were already old men taking cattle out to the fields to graze .	O O O O B-SPATIAL_ENTITY B-MOTION B-SPATIAL_ENTITY B-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE O B-NONMOTION_EVENT O	O O O O B-mover B-trigger B-mover O O O O O O O
10 10	I crossed the world 's largest salt flat , and biked across the Atacama Desert , crossing sections of the desert by moonlight .	B-SPATIAL_ENTITY B-MOTION O O O O O B-PLACE O O B-MOTION B-MOTION_SIGNAL O B-PLACE I-PLACE O B-MOTION B-PLACE B-SPATIAL_SIGNAL O B-PLACE O O O	B-mover O O O O O O O O O B-trigger O O O O O O O O O O O O O
